,experiment,merge_method,dataset,accuracy,precision,recall,f1_score
0,5-Model Scalability Test,barycenter,CIFAR-100,82.38,83.31649351034467,82.38000000000001,82.28395344510312
1,5-Model Scalability Test,barycenter,Food101,78.20990099009902,80.18129315829958,78.20990099009902,78.19000855258838
2,5-Model Scalability Test,barycenter,Flowers102,98.13725490196077,98.5467228849582,98.13626460685285,98.12199583202332
3,5-Model Scalability Test,barycenter,MNIST,57.36,69.81991879567775,56.891779094089465,52.30110708351913
4,5-Model Scalability Test,barycenter,EuroSAT,35.2962962962963,42.301471670384124,37.26775956004855,33.19039080348262
5,5-Model Scalability Test,linear,CIFAR-100,79.67,80.933671414889,79.67,79.52909261012553
6,5-Model Scalability Test,linear,Food101,76.13861386138613,78.54592416221323,76.13861386138613,76.08562128078287
7,5-Model Scalability Test,linear,Flowers102,97.35294117647058,97.8600566100566,97.31927114280056,97.2310570467337
8,5-Model Scalability Test,linear,MNIST,70.08,78.41996349177165,69.78341446119059,67.92378527029854
9,5-Model Scalability Test,linear,EuroSAT,67.18518518518518,73.12876793876423,68.58431926438841,66.22489050283261
10,5-Model Scalability Test,pairwise SLERP,CIFAR-100,79.63,80.90340388411869,79.63000000000001,79.48836839624303
11,5-Model Scalability Test,pairwise SLERP,Food101,76.06732673267327,78.50193250508136,76.06732673267327,76.01645271219614
12,5-Model Scalability Test,pairwise SLERP,Flowers102,97.35294117647058,97.8600566100566,97.31927114280056,97.2310570467337
13,5-Model Scalability Test,pairwise SLERP,MNIST,69.96,78.34888831324943,69.66402977861604,67.78329056036551
14,5-Model Scalability Test,pairwise SLERP,EuroSAT,67.07407407407408,73.06804385037279,68.48816541823457,66.12044491298732
