,experiment,merge_method,dataset,accuracy,precision,recall,f1_score
0,5-Model Scalability Test on Task Vector Merging,barycenter,CIFAR-100,58.67,89.56793753973885,58.67000000000001,67.46635089481804
1,5-Model Scalability Test on Task Vector Merging,barycenter,Food101,57.12871287128712,76.28272269352362,57.12871287128712,60.43563642484868
2,5-Model Scalability Test on Task Vector Merging,barycenter,Flowers102,97.54901960784314,97.74980194097841,97.53911665676371,97.51056862427839
3,5-Model Scalability Test on Task Vector Merging,barycenter,MNIST,97.42,97.48084735075842,97.3668217189862,97.38405406441098
4,5-Model Scalability Test on Task Vector Merging,barycenter,EuroSAT,98.48148148148148,98.5209735419693,98.56458041862768,98.5291850018181
5,5-Model Scalability Test on Task Vector Merging,linear,CIFAR-100,79.67,80.933671414889,79.67,79.52909261012553
6,5-Model Scalability Test on Task Vector Merging,linear,Food101,76.13861386138613,78.54592416221323,76.13861386138613,76.08562128078287
7,5-Model Scalability Test on Task Vector Merging,linear,Flowers102,97.35294117647058,97.8600566100566,97.31927114280056,97.2310570467337
8,5-Model Scalability Test on Task Vector Merging,linear,MNIST,70.08,78.41996349177165,69.78341446119059,67.92378527029854
9,5-Model Scalability Test on Task Vector Merging,linear,EuroSAT,67.18518518518518,73.12876793876423,68.58431926438841,66.22489050283261
10,5-Model Scalability Test on Task Vector Merging,pairwise SLERP,CIFAR-100,81.0,89.14808336684484,81.0,83.79815187939171
11,5-Model Scalability Test on Task Vector Merging,pairwise SLERP,Food101,69.61980198019802,78.94985610180983,69.61980198019802,71.36110663885569
12,5-Model Scalability Test on Task Vector Merging,pairwise SLERP,Flowers102,97.94117647058823,98.15115712174537,97.92236086353734,97.91037720823022
13,5-Model Scalability Test on Task Vector Merging,pairwise SLERP,MNIST,94.71000000000001,95.10253108418351,94.64282562399879,94.6478411935017
14,5-Model Scalability Test on Task Vector Merging,pairwise SLERP,EuroSAT,96.25925925925925,96.27633496554526,96.54113653088501,96.32961545435413
